operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819584739|1759819584739|5|0|9714000
LdbcQuery11|1759819584765|1759819584765|9|0|9739904
LdbcQuery11|1759819584791|1759819584791|4|0|9765808
LdbcQuery11|1759819584817|1759819584817|6|0|9791712
LdbcQuery11|1759819584843|1759819584844|9|0|9817616
LdbcQuery11|1759819584868|1759819584868|4|0|9843520
LdbcQuery11|1759819584894|1759819584894|5|0|9869424
LdbcQuery11|1759819584920|1759819584920|5|0|9895328
LdbcQuery11|1759819584946|1759819584946|8|0|9921232
LdbcQuery11|1759819584972|1759819584972|4|0|9947136
LdbcQuery11|1759819584998|1759819584998|6|0|9973040
LdbcQuery11|1759819585024|1759819585025|6|0|9998944
LdbcQuery11|1759819585050|1759819585050|6|0|10024848
LdbcQuery11|1759819585076|1759819585076|5|0|10050752
LdbcQuery11|1759819585102|1759819585102|7|0|10076656
LdbcQuery11|1759819585127|1759819585127|6|0|10102560
LdbcQuery11|1759819585153|1759819585154|6|0|10128464
LdbcQuery11|1759819585179|1759819585180|4|0|10154368
LdbcQuery11|1759819585205|1759819585207|6|0|10180272
LdbcQuery11|1759819585231|1759819585231|4|0|10206176
LdbcQuery11|1759819585257|1759819585257|9|0|10232080
LdbcQuery11|1759819585283|1759819585284|7|0|10257984
LdbcQuery11|1759819585309|1759819585309|9|0|10283888
LdbcQuery11|1759819585335|1759819585335|7|0|10309792
LdbcQuery11|1759819585361|1759819585361|8|0|10335696
LdbcQuery11|1759819585386|1759819585386|4|0|10361600
LdbcQuery11|1759819585412|1759819585413|8|0|10387504
LdbcQuery11|1759819585438|1759819585438|5|0|10413408
LdbcQuery11|1759819585464|1759819585465|8|0|10439312
LdbcQuery11|1759819585490|1759819585492|8|0|10465216
LdbcQuery11|1759819585516|1759819585516|5|0|10491120
LdbcQuery11|1759819585542|1759819585542|7|0|10517024
LdbcQuery11|1759819585568|1759819585568|5|0|10542928
LdbcQuery11|1759819585594|1759819585595|5|0|10568832
LdbcQuery11|1759819585620|1759819585620|5|0|10594736
LdbcQuery11|1759819585646|1759819585646|4|0|10620640
LdbcQuery11|1759819585671|1759819585671|6|0|10646544
LdbcQuery11|1759819585697|1759819585699|7|0|10672448
LdbcQuery11|1759819585723|1759819585723|7|0|10698352
LdbcQuery11|1759819585749|1759819585749|8|0|10724256
LdbcQuery11|1759819585775|1759819585775|6|0|10750160
LdbcQuery11|1759819585801|1759819585801|7|0|10776064
LdbcQuery11|1759819585827|1759819585827|10|0|10801968
LdbcQuery11|1759819585853|1759819585853|10|0|10827872
LdbcQuery11|1759819585879|1759819585879|5|0|10853776
LdbcQuery11|1759819585905|1759819585905|6|0|10879680
LdbcQuery11|1759819585930|1759819585930|7|0|10905584
LdbcQuery11|1759819585956|1759819585956|4|0|10931488
LdbcQuery11|1759819585982|1759819585982|4|0|10957392
LdbcQuery11|1759819586008|1759819586009|6|0|10983296
LdbcQuery11|1759819586034|1759819586034|4|0|11009200
LdbcQuery11|1759819586060|1759819586060|6|0|11035104
LdbcQuery11|1759819586086|1759819586086|7|0|11061008
LdbcQuery11|1759819586112|1759819586114|4|0|11086912
LdbcQuery11|1759819586138|1759819586139|6|0|11112816
LdbcQuery11|1759819586164|1759819586164|4|0|11138720
LdbcQuery11|1759819586190|1759819586190|5|0|11164624
